;Visual Properties;;;;;;Labels;;;;Layout;;;;;;Graph Metrics;;;;;;;;;Do Not Edit;;Other Columns;;;;;;;;;;;;;;;;;;
Vertex;Color;Shape;Size;Opacity;Image File;Visibility;Label;Label Fill Color;Label Position;Tooltip;Layout Order;X;Y;Locked?;Polar R;Polar Angle;Degree;In-Degree;Out-Degree;Betweenness Centrality;Closeness Centrality;Eigenvector Centrality;PageRank;Clustering Coefficient;Reciprocated Vertex Pair Ratio;ID;Dynamic Filter;Add Your Own Columns Here;Followed;Followers;Tweets;Favorites;Time Zone UTC Offset (Seconds);Description;Location;Web;Time Zone;Joined Twitter Date (UTC);Custom Menu Item Text;Custom Menu Item Action;Tweeted Search Term?;;;;;
mhendriksma;;;;;http://pbs.twimg.com/profile_images/1285853025278595072/8P7W_7Xr_normal.jpg;;;;;"mhendriksma

";;7.367,8;6.145,0;;;;;;;;;;;;;60;;;775;1236;8982;1358;;Security and Defense, International Relations & World Order, “Facts are stubborn things”, tweets my own, RT/like≠endorsement;;;;15-1-2010 23:50;Open Twitter Page for This Person;https://twitter.com/mhendriksma;No;;;;;
rivm;;;;;http://pbs.twimg.com/profile_images/1067726394212446209/FNCRZVLr_normal.jpg;;;;;"rivm

";;7.262,0;4.224,2;;;;;;;;;;;;;61;;;769;183622;12205;2707;;Rijksinstituut voor Volksgezondheid en Milieu. Webcare: ma t/m vr 9:00-17:00 Vragen over coronavirus? Bel 0800-1351 (8:00-20:00) https://t.co/tBV3GlfK7k;Bilthoven, The Netherlands;https://t.co/ghZZ8nFnx4;;26-4-2009 18:28;Open Twitter Page for This Person;https://twitter.com/rivm;No;;;;;
paulgiesbers;;;;;http://pbs.twimg.com/profile_images/1268896383672758274/VN9JfC8b_normal.jpg;;;;;"paulgiesbers

#baudet #wappie https://t.co/GFgvaqKj4l";;8.469,8;3.125,6;;;;;;;;;;;;;62;;;162;234;2897;3218;;Beëdigd Register Makelaar lid NVM / vader van drieling;The Hague;https://t.co/4gHMwgvmQP;;2-6-2010 07:48;Open Twitter Page for This Person;https://twitter.com/paulgiesbers;Yes;;;;;
povermania;;;;;http://pbs.twimg.com/profile_images/1368267827879288832/t2-DmvEi_normal.jpg;;;;;"povermania

@Infocadl2015 #wappie Hoekstra";;6.851,7;5.192,9;;;;;;;;;;;;;63;;;71;97;5859;3814;;not gonna sit in silence, not gonna live in fear... alle tweets op persoonlijke titel;;;;8-1-2012 19:13;Open Twitter Page for This Person;https://twitter.com/povermania;Yes;;;;;
infocadl2015;;;;;http://pbs.twimg.com/profile_images/1367602252287008771/CSn61W_c_normal.jpg;;;;;"infocadl2015

";;7.048,2;7.657,5;;;;;;;;;;;;;64;;;303;18593;67985;16683;;Vertrokken;;http://t.co/KraCaOLssH;;3-9-2015 14:30;Open Twitter Page for This Person;https://twitter.com/infocadl2015;No;;;;;
iknet;;;;;http://pbs.twimg.com/profile_images/1374511997916606467/lQgfuu_O_normal.jpg;;;;;"iknet

";;3.069,1;8.754,6;;;;;;;;;;;;;65;;;2234;8478;36856;104144;;"Healthscientist/Gezondheidswetenschapper.Hekelt #antiburgerbeleid en #roeptoeters. 
Steun standpunten die soms rechts, soms links zijn. Backup: Criticaster19602";;;;24-3-2020 22:50;Open Twitter Page for This Person;https://twitter.com/iknet;No;;;;;
wilbertgort;;;;;http://pbs.twimg.com/profile_images/1262641245899423745/Nj6kYkF5_normal.jpg;;;;;"wilbertgort

@mvdnbrk @marcelbar8 @WybrenvanHaga
Aha. @mvdnbrk = #wappie.";;3.420,9;8.290,8;;;;;;;;;;;;;66;;;167;206;12746;35;;Vader van drie dochters, zelfstandig ondernemer (grafische vormgeving), scriba GKv Grijpskerk-Niezijl, KNVB-scheidsrechter, wedstrijdsecretaris VEV'67.;Grijpskerk, Groningen NL;https://t.co/0xfJ2FOCZR;;6-7-2009 06:54;Open Twitter Page for This Person;https://twitter.com/wilbertgort;Yes;;;;;
marcelbar8;;;;;http://pbs.twimg.com/profile_images/1314888527038083072/M0f5NMrf_normal.jpg;;;;;"marcelbar8

";;3.842,1;7.165,1;;;;;;;;;;;;;67;;;3806;4390;66603;50823;;Brabantse Leidenaar | jurist | glas is half vol | geen li-/re politiek | liberaal | anti-populist | stop #biomassa | fotografie | mens & dier | PSV | tw.op p.t.;Leiden, The Netherlands;;;6-9-2013 12:33;Open Twitter Page for This Person;https://twitter.com/marcelbar8;No;;;;;
mvdnbrk;;;;;http://pbs.twimg.com/profile_images/1360965039/1765902.s42361102.56a6a567962a_normal.jpg;;;;;"mvdnbrk

@sil_ver_sur_fer @WilbertGort @dutchieBthatsme
@marcelbar8 @WybrenvanHaga Grappig
is juist dat ik me uitermate goed…
https://t.co/gSxSHCC2OC";;3.393,2;1.796,2;;;;;;;;;;;;;68;;;126;89;1758;1250;;;;;;19-5-2011 15:18;Open Twitter Page for This Person;https://twitter.com/mvdnbrk;Yes;;;;;
dutchiebthatsme;;;;;http://pbs.twimg.com/profile_images/487321632608751618/KQ5j4gtj_normal.jpeg;;;;;"dutchiebthatsme

";;4.146,1;1.687,1;;;;;;;;;;;;;69;;;74;143;13726;8065;;Muser, woman, ♡ music is life, dealing with TMJD, migraine, anx disorder.. but strong💪 tweeting/retweeting about c19 dutch.;same planet youre on;;;13-7-2009 20:20;Open Twitter Page for This Person;https://twitter.com/dutchiebthatsme;No;;;;;
wybrenvanhaga;;;;;http://pbs.twimg.com/profile_images/809853318541561856/PWSrJudp_normal.jpg;;;;;"wybrenvanhaga

";;6.802,8;7.884,4;;;;;;;;;;;;;70;;;999;47652;10835;10159;;Tweede Kamerlid;Haarlem, Nederland;https://t.co/h25fab4fXI;;4-5-2010 20:32;Open Twitter Page for This Person;https://twitter.com/wybrenvanhaga;No;;;;;
sil_ver_sur_fer;;;;;http://pbs.twimg.com/profile_images/809778070848733188/ewFFvF1W_normal.jpg;;;;;"sil_ver_sur_fer

";;7.255,1;2.849,3;;;;;;;;;;;;;71;;;988;3249;179677;559;;Waarheid maakt vrij;;;;16-12-2016 15:03;Open Twitter Page for This Person;https://twitter.com/sil_ver_sur_fer;No;;;;;
perdokkie;;;;;http://pbs.twimg.com/profile_images/1374640756779008006/AX-fmqTD_normal.jpg;;;;;"perdokkie

Het is een been. #wappie https://t.co/uyjABSKI1f";;7.806,0;9.443,9;;;;;;;;;;;;;72;;;351;178;11616;4340;;1978 | Mirte | Elin | Saar | zonvakanties | Ajax | Meestervoorspeller |;;;;29-5-2009 19:23;Open Twitter Page for This Person;https://twitter.com/perdokkie;Yes;;;;;
waneijs;;;;;http://pbs.twimg.com/profile_images/1358881804422418434/LnpX90z6_normal.jpg;;;;;"waneijs

@OlafLeeuwis En het erge is....
die daap van een Marten meent het
nog ook! #Wappie https://t.co/iOhEkOsQpy";;3.144,2;8.117,2;;;;;;;;;;;;;73;;;2396;231;6307;16360;;“Hagenees” 🔰 • 🇳🇱 •  🇪🇺 • 🌍 •    🙉🙈🙊 • ♻️ •;Den Haag, Nederland;;;14-10-2018 11:12;Open Twitter Page for This Person;https://twitter.com/waneijs;Yes;;;;;
olafleeuwis;;;;;http://pbs.twimg.com/profile_images/1373750558960590850/_mQXdsv__normal.jpg;;;;;"olafleeuwis

";;7.515,1;8.255,5;;;;;;;;;;;;;74;;;963;1849;22755;32572;;Boekhandelaar bij Mayflower. Een vakantiegevoel, maar dan altijd.;Leyden;https://t.co/Uo5y5OmE2w;;6-2-2020 09:37;Open Twitter Page for This Person;https://twitter.com/olafleeuwis;No;;;;;
eddie21220065;;;;;http://pbs.twimg.com/profile_images/1374473136452726792/GGq1q3LH_normal.jpg;;;;;"eddie21220065

@TarrassSamira Ik sta met open
mond naar de volgzame medeburgers
te kijken...we worden overduidelijk
richting afgro… https://t.co/oggRsCS2eK";;2.566,3;3.929,5;;;;;;;;;;;;;75;;;1044;1116;7056;14323;;duh;;;;23-3-2021 21:26;Open Twitter Page for This Person;https://twitter.com/eddie21220065;Yes;;;;;
tarrasssamira;;;;;http://pbs.twimg.com/profile_images/1370303187660455937/oPXq0CPm_normal.jpg;;;;;"tarrasssamira

";;5.310,9;6.847,3;;;;;;;;;;;;;76;;;11247;16921;132;60585;;Politiek Dakloze Marokkaanse Allochtoon zonder subsidie die op eigen titel twittert ✌️;Prikt door deugdynamiek. ;https://t.co/AswxwiOvmM;;6-4-2014 10:26;Open Twitter Page for This Person;https://twitter.com/tarrasssamira;No;;;;;
privacy1984;;;;;http://pbs.twimg.com/profile_images/1352530089431465984/CYhyFhmT_normal.jpg;;;;;"privacy1984

RT @MarcVegt: Tja... een digitaal
biometrisch paspoort met vaccins
. #wappie ! https://t.co/apUc4ogNDV";;1.610,2;4.797,3;;;;;;;;;;;;;77;;;368;181;7242;2823;;"Privacy Matters @  https://t.co/LIXNJebHj9
Informatie delen en melden als het achteraf blijkt dat het fake is!
Soms een bericht met een typevout :)";Earth Prime;https://t.co/XLjHcM2mCS;;19-9-2020 17:25;Open Twitter Page for This Person;https://twitter.com/privacy1984;Yes;;;;;
marcvegt;;;;;http://pbs.twimg.com/profile_images/1334175924422664193/deBEc4yk_normal.jpg;;;;;"marcvegt

RT @CarolineVonhoff: @MarcVegt
Weet je vast al, maar hier pleitnota
Hof van mijn mede-#wappie Jeroen
Pols. Eén van de laatste Nederlanders…";;3.908,3;6.991,1;;;;;;;;;;;;;78;;;998;1568;12195;22504;;Voortschrijdend inzicht, mensenkennis, voorvechter tegen onrecht . “De waarheid=feit dat door alle partijen en onafhankelijken =beargumenteerd én geaccepteerd”;Enschede (Netherlands);https://t.co/NOhXyxAkFQ;;2-12-2020 16:01;Open Twitter Page for This Person;https://twitter.com/marcvegt;Yes;;;;;
fartvader4;;;;;http://pbs.twimg.com/profile_images/1377603792850583552/GPCjosGY_normal.jpg;;;;;"fartvader4

@Pijnappelklier @WappieSpotter
heb je al gestemd? Kijk eens wat
een mooi exemplaar weer. #wappie";;5.970,6;3.677,1;;;;;;;;;;;;;79;;;710;477;1085;11475;;Laat scheten, maar niet op commando // Links van het midden, daar waar je hart zit. #TeamWaterkanon #TeamFriet #DeepScheet https://www.hoewerkteencovidvaccinati;🛸;https://t.co/Cpkh38TPKi;;28-9-2020 20:19;Open Twitter Page for This Person;https://twitter.com/fartvader4;Yes;;;;;
wappiespotter;;;;;http://pbs.twimg.com/profile_images/1353475953645793290/6jICcSzV_normal.jpg;;;;;"wappiespotter

";;3.877,3;3.789,1;;;;;;;;;;;;;80;;;106;1559;22020;12295;;In Domine Wapris Et Conspiritus Thierry. Wappiespotting zolang de crisis strekt. Klachten/fanmail: stuur een DM!;Uitkijktoren 'De Wappe Wipkip';https://t.co/qAhYCsoKfL;;8-8-2020 13:01;Open Twitter Page for This Person;https://twitter.com/wappiespotter;No;;;;;
changnoi2018;;;;;http://pbs.twimg.com/profile_images/1377529920549744642/aYwJmnIw_normal.jpg;;;;;"changnoi2018

@VriendenV #wappie";;7.739,4;6.540,6;;;;;;;;;;;;;81;;;38;4162;50365;21062;;/ Founder of the biggest #OTD archive in the 🌏 and still expanding! / #history / ondernemer /  Groningen / Netherlands;;;;17-4-2009 07:31;Open Twitter Page for This Person;https://twitter.com/changnoi2018;Yes;;;;;
vriendenv;;;;;http://pbs.twimg.com/profile_images/1267804074948386818/feAlTgG6_normal.jpg;;;;;"vriendenv

";;3.549,9;5.201,4;;;;;;;;;;;;;82;;;99;613;41646;22496;;Wij van stichting Vrienden van Verbraak verzorgen op dit account tweets ter herinnering/ere van het Twitter gedachtengoed van de enige echte Twitter-autoriteit.;Rep.der Zuidelijke Nederlanden;https://t.co/mwEPVPOqpE;;2-6-2020 12:45;Open Twitter Page for This Person;https://twitter.com/vriendenv;No;;;;;
joopb68lfc;;;;;http://pbs.twimg.com/profile_images/1252129407772381184/Mu9y5-Ms_normal.jpg;;;;;"joopb68lfc

🤪 #wappie #backfire #pollfuck
https://t.co/cyWaR0aOSZ";;3.310,1;169,3;;;;;;;;;;;;;83;;;1339;753;65131;87826;;🤜010🔴⚪🤛. Van hartverscheurende tot verscheurend harde muziekvoorkeur 🤘. Eet/drinkt erg graag. Positivert. Slurpt thee. Soms grammar nazi. It's a free world.;;;;1-6-2014 20:04;Open Twitter Page for This Person;https://twitter.com/joopb68lfc;Yes;;;;;
santos1995nl;;;;;http://pbs.twimg.com/profile_images/1371248484968493057/6HrnUpDu_normal.jpg;;;;;"santos1995nl

Hoe tijden toch kunnen veranderen
😂 #Corona #Lockdown #Wappie https://t.co/QzXv8aNAgO";;7.593,9;9.396,3;;;;;;;;;;;;;84;;;45;12;416;257;;"Forum Voor Democratie 🏛
Support VOX 🇪🇸 & Lega Nord 🇮🇹 
FUCK EU 🇪🇺❌
Dog owner 🦮";;;;14-3-2021 23:48;Open Twitter Page for This Person;https://twitter.com/santos1995nl;Yes;;;;;
verburghpastoor;;;;;http://pbs.twimg.com/profile_images/1109220525971259392/dxYQ0BTX_normal.jpg;;;;;"verburghpastoor

Wie is die #Wappie @Marco_Blanker
? Lekkere collega ben je dan...";;3.968,9;2.656,4;;;;;;;;;;;;;85;;;428;646;48849;58786;;Rechtse woordkunstenaar,  Levensgenieter, Kritisch denker, vooral over klimaat. EcoModernist;;;;16-10-2017 05:26;Open Twitter Page for This Person;https://twitter.com/verburghpastoor;Yes;;;;;
marco_blanker;;;;;http://pbs.twimg.com/profile_images/1251441243382583296/tIkuyLo-_normal.jpg;;;;;"marco_blanker

";;5.997,5;6.195,5;;;;;;;;;;;;;86;;;770;4279;23878;20510;;huisarts in Zwolle, onderzoekt buik- en bekkenproblemen en organisatie van (huisartsen)zorg in @umcg, is daar universitair hoofddocent.;Zw⭕️lle, Nederland;https://t.co/ZFPl3o8VIs;;2-9-2013 16:10;Open Twitter Page for This Person;https://twitter.com/marco_blanker;No;;;;;
madraq;;;;;http://pbs.twimg.com/profile_images/1381994154780164099/RIkCoz_h_normal.jpg;;;;;"madraq

Vinoloog Roel plankie mislaat #wappie
https://t.co/GkhZaGvZs4";;7.586,5;1.276,0;;;;;;;;;;;;;87;;;2455;1075;82645;16666;;;Amsterdam, Nederland;https://t.co/rIxCQHBPtv;;20-2-2011 03:08;Open Twitter Page for This Person;https://twitter.com/madraq;Yes;;;;;
bengidding;;;;;http://pbs.twimg.com/profile_images/1237722545346011136/FUGy4XpX_normal.jpg;;;;;"bengidding

Wat is het verschil tussen een
#wappie en een #dombo? Een wappie
kijkt verder dan de neus lang is,
een dombo geloof… https://t.co/oUBdSMGHpj";;4.068,9;7.367,2;;;;;;;;;;;;;88;;;1268;3127;10499;9583;;🤡 #Humor 🙉🙈🙊 · #Apolitical · #JesusChrist is Elites only nightmare · Covid-19: gold for shit for the #Elite. And see my attached tweet! (English, Dutch sub);Gelderland, Netherlands;;;13-4-2013 17:08;Open Twitter Page for This Person;https://twitter.com/bengidding;Yes;;;;;
elpasyou_2;;;;;http://pbs.twimg.com/profile_images/1386741892935716866/0rFSaDMR_normal.jpg;;;;;"elpasyou_2

@harryhol Ik ben het niet maar
ondertussen... Deze #wappie zit
gewoon nog in de kast.";;7.881,2;2.567,4;;;;;;;;;;;;;89;;;1142;926;21273;31334;;Iets met onderwijs. Oprichter @PaniekTrutClub - Grote Doorluchtige Despootheid (Ottopedi), fan van fatsoen, kleinkind van Haddock en Grote Zus van...;Nederland;;;18-4-2020 17:58;Open Twitter Page for This Person;https://twitter.com/elpasyou_2;Yes;;;;;
donaldd00584597;;;;;http://pbs.twimg.com/profile_images/1324758277641674754/resLScU0_normal.jpg;;;;;"donaldd00584597

@BetuwsePatrick Ik snapte niet
hoe dom je kan zijn door een dergelijk
bericht serieus te nemen. Totdat
ik de letter… https://t.co/CCjoDO2G6a";;2.476,5;2.897,7;;;;;;;;;;;;;90;;;11;1;148;603;;"Dumped Trump...makes the world a better place..
Proud to be dutch! 🇳🇱";;;;6-11-2020 16:58;Open Twitter Page for This Person;https://twitter.com/donaldd00584597;Yes;;;;;
betuwsepatrick;;;;;http://pbs.twimg.com/profile_images/1385589477154885636/2yZ9CzZ6_normal.jpg;;;;;"betuwsepatrick

";;7.667,0;4.582,7;;;;;;;;;;;;;91;;;128;53;286;989;;#FVD 🐸#Betuwe🐸 #DrainTheSwamp;Eck En Wiel ;;;1-2-2021 18:36;Open Twitter Page for This Person;https://twitter.com/betuwsepatrick;No;;;;;
zeikneus1;;;;;http://pbs.twimg.com/profile_images/1008802785498976256/2-9GWkcC_normal.jpg;;;;;"zeikneus1

@LudwigHup Ja het is allemaal een
complot. Iedereen werkt mee. Hebben
ze jou nog niet gevraagd om een
keer als COVI… https://t.co/3ejDsv7GKq";;2.842,2;5.966,4;;;;;;;;;;;;;92;;;657;93;4912;2447;;de naam zegt het al.....🤓 #Shabiri;;;;19-5-2018 05:30;Open Twitter Page for This Person;https://twitter.com/zeikneus1;Yes;;;;;
ludwighup;;;;;http://pbs.twimg.com/profile_images/860221347099803653/nGQubfVo_normal.jpg;;;;;"ludwighup

RT @DivaDivawendy: #wappie https://t.co/UKn8DGfrYN
People believe the msm and don't
even do their research, not people
dying of covid-19 p…";;4.551,9;2.074,5;;;;;;;;;;;;;93;;;2742;1831;16835;55322;;;Elburg, Nederland;;;4-5-2017 18:13;Open Twitter Page for This Person;https://twitter.com/ludwighup;Yes;;;;;
cyclopalm;;;;;http://pbs.twimg.com/profile_images/1332469363610443777/ZQUmnNSj_normal.jpg;;;;;"cyclopalm

@drielieTim @NOS België meer inwoners
dan Nederland? Interessante data
gebruik jij. Zeker op internet
gevonden... #wappie";;3.230,0;3.577,9;;;;;;;;;;;;;94;;;107;55;2748;639;;"Navigating work, depressional mists, and rollercoastering views of life, the universe and everything; using cycling, satire, science, sarcasm, and some rocks...";IJsselstein, Utrecht, NL;;;15-4-2013 12:30;Open Twitter Page for This Person;https://twitter.com/cyclopalm;Yes;;;;;
drielietim;;;;;http://pbs.twimg.com/profile_images/1268503436217155584/a7_CYSe__normal.jpg;;;;;"drielietim

";;8.583,2;1.617,6;;;;;;;;;;;;;95;;;35;39;2908;1288;;tegen geweld, trotse vader, soms een uitgesproken mening. ik luister ook naar anderen.;Leidschendam-Voorburg, Nederla;;;28-8-2014 12:37;Open Twitter Page for This Person;https://twitter.com/drielietim;No;;;;;
ingrid58nl;;;;;http://pbs.twimg.com/profile_images/661091902641475584/KPS0CGRr_normal.jpg;;;;;"ingrid58nl

@Mediacourant @Joyce52130641 Niets
met #Corona te doen maar dit lijkt
eerder een omschrijving van #Rutte.
#Wappie:… https://t.co/cVMca9U76e";;4.093,4;2.258,4;;;;;;;;;;;;;96;;;1181;1585;40230;6090;;"#nietnormaalmakenwatnietnormaalis  #LEVENishetmeervoudvanLEF  









#klaarmee  Zorg goed voor en vertrouw vooral op JEZELF!";Nederland;;;20-3-2009 08:42;Open Twitter Page for This Person;https://twitter.com/ingrid58nl;Yes;;;;;
joyce52130641;;;;;http://pbs.twimg.com/profile_images/1332726254332743680/pF_ZiOLh_normal.jpg;;;;;"joyce52130641

";;5.636,9;5.320,7;;;;;;;;;;;;;97;;;0;607;6880;0;;Nieuwsgierig, nieuwsjunk, tegen onrecht, kritisch, wil verbinding, redelijk en zachtaardig.;;;;9-2-2017 21:07;Open Twitter Page for This Person;https://twitter.com/joyce52130641;No;;;;;
mediacourant;;;;;http://pbs.twimg.com/profile_images/942025107043741696/j0RON8YW_normal.jpg;;;;;"mediacourant

";;4.265,2;4.265,0;;;;;;;;;;;;;98;;;0;13247;51033;0;;Mediacourant is al sinds 2004 hét adres voor onafhankelijke berichtgeving over de Nederlandse media- en entertainmentwereld.;Amsterdam;https://t.co/F3eBgGlxbQ;;30-1-2009 02:21;Open Twitter Page for This Person;https://twitter.com/mediacourant;No;;;;;
evelienr;;;;;http://pbs.twimg.com/profile_images/1363398469319340032/ji8gefp7_normal.jpg;;;;;"evelienr

@Joeli57 @mavagnl @KleurDivad @mepe176
@Jennekepenneke Mooi dat je je
eigen logica zo de prullenbak ingooit.
Anders… https://t.co/M8OMYVK0ov";;5.651,3;6.362,5;;;;;;;;;;;;;99;;;457;226;1255;2946;;Redhead from the platteland of the Nederlandse staat der Hollandia Stemt rechts #pvv #fvd #makeHollandGreatAgain #Algerijnse #Alllivesmatter #BLANKnietWit #roos;;;;21-2-2021 08:01;Open Twitter Page for This Person;https://twitter.com/evelienr;Yes;;;;;
jennekepenneke;;;;;http://pbs.twimg.com/profile_images/1336043960423370752/DUuFQhSr_normal.jpg;;;;;"jennekepenneke

";;8.583,2;6.720,1;;;;;;;;;;;;;100;;;2126;5288;224106;117413;;Beeldend Kunstenaar in woord, plaat en daad. Moeder der Outsiders. Vreet ijzer, spuit verf en kloekt thuiszitters aan royale boezem. Autonoom to the bone. Hart.;ÜT: 52.217724,4.865828;https://t.co/UuPUzjGP2n;;1-9-2009 14:33;Open Twitter Page for This Person;https://twitter.com/jennekepenneke;No;;;;;
mepe176;;;;;http://pbs.twimg.com/profile_images/1365605975265320960/fycLf4RQ_normal.jpg;;;;;"mepe176

";;3.149,3;3.839,6;;;;;;;;;;;;;101;;;498;290;5280;4001;;coördinator en trainer in de (ouderen) VGzorg, Purmerend, bordspellen, zwerfie-raper,;;;;3-1-2011 06:11;Open Twitter Page for This Person;https://twitter.com/mepe176;No;;;;;
kleurdivad;;;;;http://pbs.twimg.com/profile_images/1181168501031161857/FIXK58rR_normal.jpg;;;;;"kleurdivad

";;8.308,8;7.388,3;;;;;;;;;;;;;102;;;39;35;1961;1183;;;;;;4-3-2018 15:59;Open Twitter Page for This Person;https://twitter.com/kleurdivad;No;;;;;
mavagnl;;;;;http://pbs.twimg.com/profile_images/3320542180/538e9f81de54060bcc39b15b1c78ba51_normal.jpeg;;;;;"mavagnl

";;8.583,2;6.698,6;;;;;;;;;;;;;103;;;80;40;3191;6345;;;Amsterdam;;;11-3-2010 22:50;Open Twitter Page for This Person;https://twitter.com/mavagnl;No;;;;;
joeli57;;;;;http://pbs.twimg.com/profile_images/1363207897975566336/rV-i45gL_normal.jpg;;;;;"joeli57

";;2.773,1;8.363,9;;;;;;;;;;;;;104;;;437;228;4324;7320;;"🌹Remember, as far as anyone knows, we are a nice normal family🌹Living is easy with your eyes closed🌹Coffee is always a good idea🌹
                 ❤078/023❤";;;;9-6-2010 18:54;Open Twitter Page for This Person;https://twitter.com/joeli57;No;;;;;
criticalviews20;;;;;http://pbs.twimg.com/profile_images/1362466728178036737/0vPUqADN_normal.jpg;;;;;"criticalviews20

Aan alle #Wappie-roepers; You’ve
been played. BIG TIME. #RIVM #vaccinatiepaspoort
https://t.co/qAcLEy6w0D";;2.482,4;584,7;;;;;;;;;;;;;105;;;665;277;7910;24366;;Critical views on current affairs🔮. Life’s narrative is currently set by directed mass media distribution♻️|This is NOT a perfect storm🌋#AllRoadsLeadToDavos🕸;Davos, Switzerland;https://t.co/cLCuw90X88;;10-12-2020 21:50;Open Twitter Page for This Person;https://twitter.com/criticalviews20;Yes;;;;;
_sander_w;;;;;http://pbs.twimg.com/profile_images/1286975843269595137/EJ8exJKH_normal.jpg;;;;;"_sander_w

@NancyGroningen @Sill311 @NDikkeboom
Zoekt naar nuance zegt ze dan hahahahahahahaha.
#koekwaus #wappie";;4.910,7;2.724,3;;;;;;;;;;;;;106;;;132;201;6558;8509;;Achterhoek - FR12 - Vet. - Leeft buiten de deugbubbel - amateur woordkunstenaar.;;;;27-7-2010 10:20;Open Twitter Page for This Person;https://twitter.com/_sander_w;Yes;;;;;
sill311;;;;;http://pbs.twimg.com/profile_images/1372291260195733509/Y2jSXvb5_normal.jpg;;;;;"sill311

";;3.211,2;5.069,6;;;;;;;;;;;;;107;;;417;250;5636;8859;;;;;;8-11-2020 21:12;Open Twitter Page for This Person;https://twitter.com/sill311;No;;;;;
nancygroningen;;;;;http://pbs.twimg.com/profile_images/1363406215259258880/7MtzSCI8_normal.jpg;;;;;"nancygroningen

";;6.336,1;7.401,1;;;;;;;;;;;;;108;;;3919;6351;64661;167990;;Ex-winkelier. Positievo met een groen💚liberale VVD mening. Staat op voor milieu en SAMENleving. Zoekt naar de nuance in ieder debat, ventileert graag meningen.;Groningen;;;7-8-2010 08:03;Open Twitter Page for This Person;https://twitter.com/nancygroningen;No;;;;;
misantroop_nl;;;;;http://pbs.twimg.com/profile_images/1382734767255347202/-lrhUBr6_normal.jpg;;;;;"misantroop_nl

#corona #wappie #taalvout Nogmaals
bevestigd dat wappies analfabeten
zijn.";;3.474,8;9.813,3;;;;;;;;;;;;;109;;;106;44;1870;1581;;"Natuur, privacy, vrijheid, kunst en techniek. 
Houtrookvrij, anders valide, #teamfriet";;;;10-6-2020 09:07;Open Twitter Page for This Person;https://twitter.com/misantroop_nl;Yes;;;;;
